Temperature (K), B_2V
144,-83370704963106664976744448
144,-83277356369925353399910400
145,-83184147717682969251414016
145,-83091078696448848476241920
145,-82998148997202224430972928
145,-82905358311828929348894720
145,-82812706333118027085643776
145,-82720192754758755102490624
145,-82627817271336830794465280
145,-82535579578331582452203520
145,-82443479372112530467979264
145,-82351516349936037261213696
145,-82259690209942249261760512
146,-82168000651151935813976064
146,-82076447373463104742490112
146,-81985030077647909975752704
146,-81893748465349524809842688
146,-81802602239078843373584384
146,-81711591102211680309870592
146,-81620714758985128643395584
146,-81529972914494862541193216
146,-81439365274691855957622784
146,-81348891546379444876738560
146,-81258551437209977237798912
146,-81168344655681961076981760
147,-81078270911137161129492480
147,-80988329913757059776512000
147,-80898521374560469043380224
147,-80808845005400008726413312
147,-80719300518959340433965056
147,-80629887628750315728142336
147,-80540606049109626050314240
147,-80451455495196174201126912
147,-80362435682987947604312064
147,-80273546329279389786701824
147,-80184787151677947224522752
148,-80096157868601578262364160
148,-80007658199275918434762752
148,-79919287863731033470926848
148,-79831046582798825134489600
148,-79742934078109990386663424
148,-79654950072091461585731584
148,-79567094287963159491772416
148,-79479366449735742703796224
148,-79391766282207120146300928
148,-79304293510960148966801408
148,-79216947862359713958068224
149,-79129729063549824160235520
149,-79042636842451053060292608
149,-78955670927757755453276160
149,-78868831048935181224247296
149,-78782116936216795288698880
149,-78695528320601631892701184
149,-78609064933851717632524288
149,-78522726508489013437923328
149,-78436512777793060930060288
149,-78350423475798250822303744
149,-78264458337290902342467584
149,-78178617097806995490078720
150,-78092899493629422257307648
150,-78007305261785100410945536
150,-77921834140042722929541120
150,-77836485866909906145116160
150,-77751260181630784561479680
150,-77666156824183158995943424
150,-77581175535276349095673856
150,-77496316056348186860584960
150,-77411578129562663001260032
150,-77326961497807564706938880
150,-77242465904691563657691136
151,-77158091094542042770964480
151,-77073836812402304472842240
151,-76989702804029526293610496
151,-76905688815891659901370368
151,-76821794595165360927801344
151,-76738019889733549426737152
151,-76654364448182669685030912
151,-76570828019800525559037952
151,-76487410354573712084172800
151,-76404111203185227473092608
151,-76320930317011904725254144
151,-76237867448122410172153856
152,-76154922349274314309632000
152,-76072094773912064573308928
152,-75989384476164717595852800
152,-75906791210843164658106368
152,-75824314733437932665831424
152,-75741954800117113975472128
152,-75659711167723720694300672
152,-75577583593773434117554176
152,-75495571836452294036029440
152,-75413675654614534072565760
152,-75331894807779927392256000
153,-75250229056131888326901760
153,-75168678160515058603393024
153,-75087241882432884982153216
153,-75005919984045660752052224
153,-74924712228167922980225024
153,-74843618378266373747900416
153,-74762638198457921645314048
153,-74681771453506890042966016
153,-74601017908823324874506240
153,-74520377330460426246291456
153,-74439849485112693011513344
153,-74359434140113337199886336
154,-74279131063432445771644928
154,-74198940023674592615727104
154,-74118860790076862864818176
154,-74038893132506533613010944
154,-73959036821459089640914944
154,-73879291628055835413839872
154,-73799657324042116965335040
154,-73720133681784839406092288
154,-73640720474270817656504320
154,-73561417475104130746810368
154,-73482224458504352290570240
155,-73403141199304549029904384
155,-73324167472948910013546496
155,-73245303055490977070317568
155,-73166547723591359886524416
155,-73087901254515932119695360
155,-73009363426133383267221504
155,-72930934016913698247933952
155,-72852612805925709270745088
155,-72774399572835326308122624
155,-72696294097903423972179968
155,-72618296161983925959262208
156,-72540405546521657566298112
156,-72462622033550490264928256
156,-72384945405691331656810496
156,-72307375446150209918205952
156,-72229911938716160676069376
156,-72152554667759569150672896
156,-72075303418229747794051072
156,-71998157975653450231316480
156,-71921118126132852626030592
156,-71844183656343423376424960
156,-71767354353532084869398528
156,-71690630005515572803010560
157,-71614010400678151263879168
157,-71537495327970006409412608
157,-71461084576905098984161280
157,-71384777937559583771852800
157,-71308575200569790960762880
157,-71232476157130379307778048
157,-71156480598992300323897344
157,-71080588318461449654501376
157,-71004799108396218947993600
157,-70929112762206078516592640
157,-70853529073849661780918272
158,-70778047837832789585035264
158,-70702668849206898238423040
158,-70627391903567106780692480
158,-70552216797050344375844864
158,-70477143326333726814633984
158,-70402171288632804167909376
158,-70327300481699439072772096
158,-70252530703820458112843776
158,-70177861753815607413833728
158,-70103293431036118124462080
158,-70028825535362515983138816
158,-69954457867203255518363648
159,-69880190227492718593966080
159,-69806022417689702580617216
159,-69731954239775650829303808
159,-69657985496252823015260160
159,-69584115990142654460461056
159,-69510345524984209945395200
159,-69436673904832250973782016
159,-69363100934255492015849472
159,-69289626418335415097360384
159,-69216250162664087956226048
159,-69142971973342523364999168
160,-69069791656979467950096384
160,-68996709020689211758477312
160,-68923723872090205278175232
160,-68850836019303513250070528
160,-68778045270951002191691776
160,-68705351436153682539839488
160,-68632754324530291311378432
160,-68560253746195471037104128
160,-68487849511758240753385472
160,-68415541432320492763611136
160,-68343329319475248881467392
160,-68271212985305097062842368
161,-68199192242380670987403264
161,-68127266903758983611285504
161,-68055436782981966878212096
161,-67983701694074839631921152
161,-67912061451544501298397184
161,-67840515870378037237252096
161,-67769064766041267042779136
161,-67697707954477009377165312
161,-67626445252103604501741568
161,-67555276475813496937775104
161,-67484201442971500299681792
162,-67413219971413646243790848
162,-67342331879445165833715712
162,-67271536985839398618660864
162,-67200835109836160545849344
162,-67130226071140180592427008
162,-67059709689919631886647296
162,-66989285786804783088140288
162,-66918954182886254631190528
162,-66848714699713970752716800
162,-66778567159295089318035456
162,-66708511384093151417335808
163,-66638547197026311839154176
163,-66568674421465792882147328
163,-66498892881234741893791744
163,-66429202400606556233138176
163,-66359602804303551830949888
163,-66290093917495365461868544
163,-66220675565797941132132352
163,-66151347575271700423507968
163,-66082109772420168103755776
163,-66012961984188872615002112
163,-65943904037963662446559232
163,-65874935761569331745390592
164,-65806056983268452085006336
164,-65737267531759663068479488
164,-65668567236176547047014400
164,-65599955926086125881393152
164,-65531433431487529502113792
164,-65462999582810716009136128
164,-65394654210914899713851392
164,-65326397147087400087846912
164,-65258228223042172884090880
164,-65190147270918607546089472
164,-65122154123280023969333248
165,-65054248613112341061435392
165,-64986430573822951460700160
165,-64918699839239192527765504
165,-64851056243607117984956416
165,-64783499621590071987142656
165,-64716029808267589610110976
165,-64648646639133842072403968
165,-64581349950096683252580352
165,-64514139577475897342558208
165,-64447015358002288314548224
165,-64379977128816322711388160
165,-64313024727466531918708736
166,-64246157991908773430558720
166,-64179376760504572992028672
166,-64112680872019879058735104
166,-64046070165624049184538624
166,-63979544480888260883644416
166,-63913103657784540967993344
166,-63846747536684399747661824
166,-63780475958357679979626496
166,-63714288763971019269472256
166,-63648185795087025437671424
166,-63582166893662738921291776
167,-63516231902048696471126016
167,-63450380662987367783596032
167,-63384613019612210607947776
167,-63318928815446339306389504
167,-63253327894401339443118080
167,-63187810100776151092822016
167,-63122375279255651501473792
167,-63057023274909693013655552
167,-62991753933191943431389184
167,-62926567099938331235975168
167,-62861462621366315443552256
167,-62796440344073502625628160
168,-62731500115036435728302080
168,-62666641781609468790833152
168,-62601865191523684613881856
168,-62537170192885666398863360
168,-62472556634176269387300864
168,-62408024364249710327758848
168,-62343573232332038467485696
168,-62279203088020439767711744
168,-62214913781281793794637824
168,-62150705162451668697088000
168,-62086577082232963996844032
169,-62022529391695231983812608
169,-61958561942273191657340928
169,-61894674585765775243476992
169,-61830867174334856884649984
169,-61767139560504316336799744
169,-61703491597158879328206848
169,-61639923137543052407603200
169,-61576434035259851633852416
169,-61513024144269943582490624
169,-61449693318890451344818176
169,-61386441413793872196141056
170,-61323268284007012443881472
170,-61260173784909870736080896
170,-61197157772234581499445248
170,-61134220102064461456605184
170,-61071360630832695366123520
170,-61008579215321597288120320
170,-60945875712661261964541952
170,-60883249980328671465963520
170,-60820701876146544140353536
170,-60758231258282467029680128
170,-60695837985247667509264384
170,-60633521915896119934582784
171,-60571282909423403179966464
171,-60509120825365626896777216
171,-60447035523598606879686656
171,-60385026864336662475833344
171,-60323094708131688871886848
171,-60261238915872048992485376
171,-60199459348781697326907392
171,-60137755868419080417443840
171,-60076128336676088887377920
171,-60014576615777284346871808
171,-59953100568278456283955200
172,-59891700057066149618122752
172,-59830374945356393390014464
172,-59769125096693652789395456
172,-59707950374950030291238912
172,-59646850644324217683705856
172,-59585825769340396556517376
172,-59524875614847499566579712
172,-59464000046018050796814336
172,-59403198928347229453287424
172,-59342472127652096771096576
172,-59281819510070298934247424
172,-59221240942059345521147904
173,-59160736290395759101083648
173,-59100305422173838283636736
173,-59039948204804841674899456
173,-58979664506016068754472960
173,-58919454193850035241746432
173,-58859317136663210375512064
173,-58799253203125441388347392
173,-58739262262218793865445376
173,-58679344183236718520958976
173,-58619498835783132074999808
173,-58559726089771472360833024
174,-58500025815423856511287296
174,-58440397883269895547781120
174,-58380842164146213343985664
174,-58321358529195261214851072
174,-58261946849864433153343488
174,-58202606997905266966528000
174,-58143338845372439253221376
174,-58084142264622915000467456
174,-58025017128315088590077952
174,-57965963309407916215238656
174,-57906980681159996757508096
174,-57848069117128489455058944
175,-57789228491168753125425152
175,-57730458677432937416228864
175,-57671759550369312790282240
175,-57613130984721557561016320
175,-57554572855527589661376512
175,-57496085038119025477943296
175,-57437667408120054569500672
175,-57379319841446692342726656
175,-57321042214305921058734080
175,-57262834403194959688630272
175,-57204696284900164401889280
176,-57146627736496358551453696
176,-57088628635346016629948416
176,-57030698859098216297660416
176,-56972838285688097216659456
176,-56915046793335873208320000
176,-56857324260545921720254464
176,-56799670566106088041611264
176,-56742085589086809129746432
176,-56684569208840323336241152
176,-56627121304999854363115520
176,-56569741757478752269369344
177,-56512430446469651657392128
177,-56455187252443724348653568
177,-56398012056150026548674560
177,-56340904738614347795791872
177,-56283865181138558126129152
177,-56226893265300049727848448
177,-56169988872950551530176512
177,-56113151886215596627460096
177,-56056382187493654695772160
177,-55999679659455333128994816
177,-55943044185042578174902272
177,-55886475647468022100131840
178,-55829973930213986757771264
178,-55773538917031813572460544
178,-55717170491941262244970496
178,-55660868539229394060705792
